Дата	Отдел.Код	Товар.Код	Час	Количество	Сумма
01.01.2004	1	31052	13	1	
01.01.2004	1	36259	16	1	
01.01.2004	1	40345	15	1	
01.01.2004	1	65841	14	1	
01.01.2004	1	82545	13	1	
01.01.2004	1	83563	13	1	
02.01.2004	1	2291	20	1	
02.01.2004	1	11291	18	1	
02.01.2004	1	24061	19	1	
02.01.2004	1	27649	15	1	
02.01.2004	1	31052	20	1	
02.01.2004	1	33340	11	1	
02.01.2004	1	33340	17	1	
02.01.2004	1	38453	12	1	
02.01.2004	1	40345	20	1	
02.01.2004	1	57168	20	1	
02.01.2004	1	78981	11	1	
02.01.2004	1	83480	12	10	
03.01.2004	1	828	18	1	
03.01.2004	1	1151	14	1	
03.01.2004	1	10648	12	1	
03.01.2004	1	11291	12	1	
03.01.2004	1	11824	11	1	
03.01.2004	1	13840	9	1	
03.01.2004	1	21269	10	1	
03.01.2004	1	21269	14	1	
03.01.2004	1	24061	11	1	
03.01.2004	1	28092	17	1	
03.01.2004	1	32427	18	1	
03.01.2004	1	32560	13	1	
03.01.2004	1	36259	16	1	
03.01.2004	1	43701	9	1	
03.01.2004	1	82845	8	2	
04.01.2004	1	487	14	10	
04.01.2004	1	2291	14	1	
04.01.2004	1	11291	11	1	
04.01.2004	1	11931	14	1	
04.01.2004	1	28551	17	1	
04.01.2004	1	31052	13	1	
04.01.2004	1	31052	17	1	
04.01.2004	1	32560	13	2	
04.01.2004	1	33340	16	1	
04.01.2004	1	40345	17	1	
04.01.2004	1	45816	12	1	
04.01.2004	1	52458	12	1	
04.01.2004	1	71804	14	1	
04.01.2004	1	79038	13	2	
04.01.2004	1	79107	17	1	
05.01.2004	1	828	11	1	
05.01.2004	1	15955	9	1	
05.01.2004	1	28092	15	1	
05.01.2004	1	32560	14	1	
05.01.2004	1	32560	15	1	
05.01.2004	1	33340	12	1	
05.01.2004	1	33513	16	1	
05.01.2004	1	50780	19	1	
05.01.2004	1	52458	18	1	
05.01.2004	1	57168	13	1	
05.01.2004	1	65841	17	1	
05.01.2004	1	78981	19	1	
06.01.2004	1	1145	10	1	
