Код заявки	Дата выдачи	Возраст	Заемщик.Пол	СемейноеПоложение	Иждивенцы	Образование	Вид деятельности	Стаж	Стаж общий	"Белый" доход	Месячный доход, руб.	Сумма кредита, тыс. руб.	Месячный платеж, руб.	Просрочек свыше 60 дн.
1	23.02.2005	33	Ж	Холост (незамужем)	3 и более	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	11522	104	3671	0
2	27.02.2005	33	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	1131	178	6274	0
3	28.02.2005	54	М	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	7453	68	2346	0
4	28.02.2005	30	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	14897	109	3902	0
5	28.02.2005	22	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	1191	78	2788	0
6	11.03.2005	32	М	Холост (незамужем)	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	да	15266	170	5976	1
7	18.03.2005	24	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	нет	9697	108	5184	0
8	19.03.2005	25	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	10597	145	3644	1
9	20.03.2005	42	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	17262	162	5549	0
10	23.03.2005	33	Ж	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	19686	108	3703	0
11	26.03.2005	49	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	19900	218	7783	1
12	26.03.2005	26	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	да	11813	113	2684	0
13	31.03.2005	23	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	9749	84	2909	0
14	02.04.2005	35	Ж	Женат (замужем)	1-2	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	91449	104	3557	0
15	03.04.2005	46	Ж	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	17622	91	3182	1
16	03.04.2005	28	Ж	Другое	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	30386	127	4366	0
17	06.04.2005	49	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	11265	129	4412	0
18	07.04.2005	43	М	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	15463	159	5149	0
19	08.04.2005	25	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	да	7650	73	2362	1
20	08.04.2005	25	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	9098	121	4035	0
21	13.04.2005	41	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	27302	291	9406	0
22	13.04.2005	48	М	Другое	0	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	да	15771	129	4283	0
