Транзакция	Продукт
12383	Аналгетик
12563	Дезодорант
12635	Лекало
12782	Набор ручек
12824	Карандаши
12824	Конфеты
12905	Зубная паста
12938	Парфюм
12944	Журнал
12944	Зубная паста
12944	Парфюм
13001	Аналгетик
13001	Журнал
13007	Журнал
13007	Карандаши
13007	Конфеты
13007	Поздравительная открытка
13076	Мыло
13106	Зубная паста
13175	Зубная паста
13214	Набор ручек
13268	Зубная паста
13304	Зубная паста
13355	Набор ручек
13505	Журнал
13505	Набор ручек
13679	Конфеты
13697	Журнал
13697	Карта флеш-памяти
13781	Поздравительная открытка
13916	Парфюм
13931	Журнал
13931	Конфеты
13931	Поздравительная открытка
13979	Карандаши
14162	Поздравительная открытка
14168	Журнал
14285	Поздравительная открытка
14300	Оберточная бумага
14327	Зубная паста
14327	Карандаши
14351	Конфеты
14528	Лекало
14657	Журнал
14657	Зубная паста
14657	Поздравительная открытка
14720	Конфеты
14825	Оберточная бумага
14843	Набор ручек
14864	Поздравительная открытка
14906	Зубная паста
14975	Оберточная бумага
14999	Журнал
14999	Набор ручек
15002	Зубная паста
15017	Карандаши
15017	Поздравительная открытка
15224	Оберточная бумага
15239	Лекарство по рецепту
15509	Шампунь
15524	Мыло
15533	Карандаши
15533	Конфеты
15533	Поздравительная открытка
15569	Парфюм
15605	Мыло
15710	Карандаши
15716	Оберточная бумага
15863	Карандаши
15863	Конфеты
15875	Шампунь
15923	Зубная паста
15944	Зубная щетка
15962	Журнал
15962	Конфеты
16013	Карандаши
16070	Поздравительная открытка
16154	Набор ручек
16160	Набор ручек
16208	Журнал
16208	Конфеты
16208	Поздравительная открытка
16280	Журнал
16280	Карта флеш-памяти
16280	Парфюм
16355	Парфюм
16361	Журнал
16361	Лекало
16361	Парфюм
16361	Шампунь
16364	Журнал
16400	Журнал
16400	Конфеты
16493	Журнал
16664	Зубная щетка
16748	Оберточная бумага
16772	Набор ручек
16778	Карандаши
16865	Зубная щетка
16877	Журнал
16934	Шампунь
16967	Журнал
16967	Зубная паста
17096	Поздравительная открытка
17231	Мыло
17231	Набор ручек
17264	Мыло
17291	Набор ручек
17303	Карандаши
17405	Поздравительная открытка
17408	Поздравительная открытка
17627	Конфеты
17690	Набор ручек
17720	Парфюм
17903	Конфеты
17903	Поздравительная открытка
17933	Шампунь
18005	Набор ручек
18209	Оберточная бумага
18236	Оберточная бумага
18257	Дезодорант
18302	Карандаши
18344	Фломастеры
18437	Лекало
18464	Набор ручек
18635	Конфеты
18635	Поздравительная открытка
18668	Журнал
18764	Оберточная бумага
18773	Парфюм
18878	Конфеты
19049	Дезодорант
19115	Зубная паста
19118	Поздравительная открытка
19289	Набор ручек
19388	Набор ручек
19403	Зубная щетка
19403	Карта флеш-памяти
19403	Конфеты
19403	Лекало
19499	Зубная щетка
19550	Конфеты
19715	Карандаши
19733	Карандаши
19733	Конфеты
19796	Лекало
19835	Лекарство по рецепту
19880	Набор ручек
19949	Зубная паста
19949	Карандаши
19949	Конфеты
19949	Поздравительная открытка
20279	Набор ручек
20405	Карандаши
20405	Поздравительная открытка
20492	Журнал
20492	Карандаши
20492	Поздравительная открытка
20633	Зубная щетка
20645	Журнал
20645	Зубная щетка
20645	Лекало
20687	Зубная паста
20717	Конфеты
20720	Зубная паста
20729	Журнал
20729	Конфеты
20801	Журнал
20987	Карта флеш-памяти
21086	Набор ручек
21092	Набор ручек
21104	Конфеты
21104	Набор ручек
21122	Набор ручек
21185	Журнал
21185	Зубная паста
21227	Аналгетик
21266	Карандаши
21302	Мыло
21554	Журнал
21563	Зубная щетка
21563	Лекало
21647	Журнал
21737	Журнал
21881	Поздравительная открытка
22046	Поздравительная открытка
22088	Журнал
22088	Зубная паста
22088	Поздравительная открытка
22184	Набор ручек
22241	Карандаши
22241	Конфеты
22241	Поздравительная открытка
22277	Карандаши
22301	Лекало
22301	Оберточная бумага
22409	Конфеты
22415	Поздравительная открытка
22445	Зубная паста
22553	Поздравительная открытка
22688	Карандаши
22778	Набор ручек
22787	Зубная щетка
22796	Зубная паста
22796	Конфеты
22796	Набор ручек
22871	Поздравительная открытка
22982	Набор ручек
23036	Зубная паста
23036	Карандаши
23045	Зубная щетка
23060	Зубная паста
23060	Конфеты
23177	Журнал
23177	Зубная паста
23177	Поздравительная открытка
23216	Журнал
23216	Парфюм
23450	Зубная щетка
23549	Карандаши
23555	Зубная щетка
23555	Парфюм
23639	Набор ручек
23663	Журнал
23714	Зубная паста
23714	Конфеты
23801	Конфеты
23927	Набор ручек
24035	Поздравительная открытка
24053	Конфеты
24086	Оберточная бумага
24089	Зубная паста
24137	Лекало
24167	Мыло
24203	Мыло
24377	Карта флеш-памяти
24536	Оберточная бумага
24563	Журнал
24584	Поздравительная открытка
24593	Конфеты
24593	Поздравительная открытка
24701	Набор ручек
24767	Конфеты
24791	Журнал
24827	Карта флеш-памяти
24827	Конфеты
24827	Набор ручек
24827	Парфюм
24827	Поздравительная открытка
24944	Конфеты
24953	Лекало
24974	Поздравительная открытка
24995	Конфеты
25034	Конфеты
25136	Поздравительная открытка
25214	Парфюм
25301	Конфеты
25349	Журнал
25349	Конфеты
25349	Набор ручек
25349	Поздравительная открытка
25517	Парфюм
25568	Лекало
25679	Аналгетик
25679	Зубная паста
25679	Зубная щетка
25679	Конфеты
25922	Набор ручек
26066	Журнал
26096	Журнал
26096	Карандаши
26096	Поздравительная открытка
26105	Конфеты
26114	Набор ручек
26117	Зубная паста
26243	Зубная паста
26243	Мыло
26288	Поздравительная открытка
26333	Журнал
26333	Зубная паста
26477	Зубная паста
26531	Зубная паста
26576	Шампунь
26618	Поздравительная открытка
26723	Журнал
26723	Набор ручек
26762	Журнал
26762	Карта флеш-памяти
26918	Конфеты
26999	Поздравительная открытка
27017	Журнал
27065	Журнал
27065	Зубная паста
27065	Конфеты
27218	Конфеты
27320	Карта флеш-памяти
27386	Журнал
27476	Журнал
27479	Журнал
27515	Набор ручек
27524	Зубная паста
27524	Конфеты
27533	Аналгетик
27590	Парфюм
27671	Набор ручек
27839	Журнал
27839	Зубная паста
27839	Карандаши
27839	Конфеты
27839	Оберточная бумага
27908	Мыло
27959	Набор ручек
28031	Оберточная бумага
28034	Поздравительная открытка
28331	Журнал
28331	Карандаши
28331	Поздравительная открытка
28343	Поздравительная открытка
28433	Журнал
28433	Зубная паста
28433	Поздравительная открытка
28481	Шампунь
28619	Журнал
28619	Зубная паста
28619	Карандаши
28619	Конфеты
28619	Поздравительная открытка
28775	Мыло
28874	Карандаши
28874	Поздравительная открытка
28958	Парфюм
28976	Карандаши
28976	Набор ручек
28976	Поздравительная открытка
29027	Поздравительная открытка
29051	Зубная паста
29069	Журнал
29150	Зубная паста
29150	Карта флеш-памяти
29198	Парфюм
29288	Журнал
29288	Карта флеш-памяти
29288	Поздравительная открытка
29303	Карандаши
29312	Карандаши
29348	Журнал
29348	Набор ручек
29366	Карандаши
29423	Парфюм
29450	Фломастеры
29528	Парфюм
29564	Карандаши
29564	Конфеты
29570	Журнал
