Дата	Объект	Потребление эл энергия,кВт час
01.05.2010	Объект 2	185127,5
01.06.2010	Объект 2	225127,5
01.07.2010	Объект 2	284265
01.08.2010	Объект 2	292792,5
01.09.2010	Объект 2	265275
01.10.2010	Объект 2	339285
01.11.2010	Объект 2	410677,5
01.12.2010	Объект 2	387945
01.01.2011	Объект 2	371550
01.02.2011	Объект 2	336697,5
01.03.2011	Объект 2	341317,5
01.04.2011	Объект 2	325335
01.05.2011	Объект 2	255675
01.06.2011	Объект 2	154987,5
01.07.2011	Объект 2	224430
01.08.2011	Объект 2	223395
01.09.2011	Объект 2	269670
01.10.2011	Объект 2	319005
01.11.2011	Объект 2	307867,5
01.12.2011	Объект 2	319080
01.01.2012	Объект 2	307957,5
01.02.2012	Объект 2	302520
01.03.2012	Объект 2	289635
01.04.2012	Объект 2	250822,5
01.01.2008	Объект 1	25668
01.02.2008	Объект 1	23292
01.03.2008	Объект 1	25155
01.04.2008	Объект 1	24228
01.05.2008	Объект 1	21510
01.06.2008	Объект 1	18513
01.08.2008	Объект 1	20079
01.09.2008	Объект 1	21951
01.10.2008	Объект 1	31212
01.11.2008	Объект 1	32688
01.12.2008	Объект 1	30438
01.01.2009	Объект 1	28764
01.02.2009	Объект 1	27387
01.03.2009	Объект 1	27171
01.04.2009	Объект 1	23037,669
01.06.2009	Объект 1	20361,525
01.07.2009	Объект 1	21972,3
01.08.2009	Объект 1	20659,725
01.09.2009	Объект 1	22602,975
01.10.2009	Объект 1	26337,15
01.11.2009	Объект 1	26279,25
01.12.2009	Объект 1	36532,425
01.01.2010	Объект 1	29880,45
01.02.2010	Объект 1	32113,125
01.03.2010	Объект 1	30285,675
01.04.2010	Объект 1	23484,975
01.05.2010	Объект 1	26381,625
01.06.2010	Объект 1	18588,675
01.07.2010	Объект 1	23471,475
01.08.2010	Объект 1	24175,5
01.09.2010	Объект 1	21903,825
01.10.2010	Объект 1	28014,15
01.11.2010	Объект 1	33909
01.12.2010	Объект 1	32032,35
01.01.2011	Объект 1	30678,75
01.02.2011	Объект 1	27801
01.03.2011	Объект 1	28182,225
01.04.2011	Объект 1	26865,375
01.05.2011	Объект 1	26390,55
01.06.2011	Объект 1	15997,5
01.07.2011	Объект 1	23166,45
01.09.2011	Объект 1	27836,175
01.10.2011	Объект 1	32928,75
01.11.2011	Объект 1	31778,85
01.12.2011	Объект 1	32908,425
01.01.2012	Объект 1	31761,3
01.02.2012	Объект 1	31200,45
01.03.2012	Объект 1	29871,3
01.04.2012	Объект 1	25868,4
01.04.2009	Объект 3	128933,1
01.05.2009	Объект 3	111480
01.06.2009	Объект 3	113947,5
01.07.2009	Объект 3	122970
01.08.2009	Объект 3	115627,5
01.09.2009	Объект 3	126502,5
01.10.2009	Объект 3	147397,5
01.11.2009	Объект 3	147067,5
01.12.2009	Объект 3	204465
01.01.2010	Объект 3	167227,5
01.02.2010	Объект 3	179730
01.03.2010	Объект 3	169507,5
01.04.2010	Объект 3	131437,5
01.05.2010	Объект 3	147652,5
01.06.2010	Объект 3	104205
01.07.2010	Объект 3	131565
01.08.2010	Объект 3	135517,5
01.09.2010	Объект 3	122782,5
01.10.2010	Объект 3	157035
01.11.2010	Объект 3	190087,5
01.12.2010	Объект 3	179572,5
01.01.2011	Объект 3	171975
01.02.2011	Объект 3	155850
01.04.2011	Объект 3	150540
01.05.2011	Объект 3	157282,5
01.06.2011	Объект 3	95347,5
01.07.2011	Объект 3	137805
01.08.2011	Объект 3	137167,5
01.09.2011	Объект 3	165585
01.10.2011	Объект 3	195870
01.11.2011	Объект 3	189037,5
01.12.2011	Объект 3	196042,5
01.01.2012	Объект 3	189210
01.02.2012	Объект 3	185865
01.03.2012	Объект 3	177952,5
01.04.2012	Объект 3	154102,5
