Продавец	Поставщик	Наименование товара	Дата отгрузки	Цена продажи | Сумма	Количество | Сумма
Продавец №1	Поставщик №1	L-Тироксин 100 Берлин-Хеми таб. №100	06.02.2007	100,1	3
Продавец №1	Поставщик №1	Аевит капс. 0.2 х10	06.02.2007	12	50
Продавец №1	Поставщик №1	Азитромицин-АКОС капс. 250мг №6	06.02.2007	115,6	4
Продавец №1	Поставщик №1	Аминазин амп. 2,5% 2мл №10	06.02.2007	27,5	5
Продавец №1	Поставщик №1	Аминостерил КЕ 10% фл. 500мл	06.02.2007	359,2	10
Продавец №1	Поставщик №1	Амиодарон (кордарон) таб. 200мг х30	06.02.2007	53	20
Продавец №1	Поставщик №1	Амлодипин 0.005г №30	06.02.2007	91,4	10
Продавец №1	Поставщик №1	Амлодипин 10мг №30	06.02.2007	150	10
Продавец №1	Поставщик №1	Амоксиклав 1200 мг пор. д/в/в х5	06.02.2007	813,8	10
Продавец №1	Поставщик №1	Анальгин 50% амп. 2мл х10	06.02.2007	39,2	50
Продавец №1	Поставщик №1	Ардуан амп. 4мг 2мл х25	06.02.2007	1256,8	1
Продавец №1	Поставщик №1	Аскорутин таб. 0.33 х10	06.02.2007	0,8	10
Продавец №1	Поставщик №1	Аскофен  П  таб. х10	06.02.2007	4,3	50
Продавец №1	Поставщик №1	Бактисубтил капс. х20	06.02.2007	137,7	1
Продавец №1	Поставщик №1	Бензилпенициллина натр.соль 1млн.Ед.	06.02.2007	2,09	15
Продавец №1	Поставщик №1	Бинт марлевый стер. 5х10	06.02.2007	2,4	50
Продавец №1	Поставщик №1	Бинт марлевый стер. 7х14	06.02.2007	4,4	50
Продавец №1	Поставщик №1	Борная кислота спирт 3% фл. 25мл	06.02.2007	3,73	11
Продавец №1	Поставщик №1	Валерианы экстракт таб. 0.02 х50	06.02.2007	5,9	50
Продавец №1	Поставщик №1	Вата хирургическая нест. упак. 100г	06.02.2007	6,8	20
Продавец №1	Поставщик №1	Верапамила г/х 0,25% 2мл №10	06.02.2007	13,5	1
Продавец №1	Поставщик №1	Верошпилактон (спиронолактон) таб. 25мг х20	06.02.2007	30,1	50
Продавец №1	Поставщик №1	Винпоцетин таб.5мг х50	06.02.2007	26,2	31
Продавец №1	Поставщик №1	Вода для инъекций амп. 2мл х10	06.02.2007	11,6	5
Продавец №1	Поставщик №1	Галидор амп. 50мг/2мл х10	06.02.2007	266,7	15
Продавец №1	Поставщик №1	Гепарин р-р д/ин. 5000ЕД/мл фл. 5мл х5	06.02.2007	59,1	60
Продавец №1	Поставщик №1	Гептрал фл.+ раств.400мг х5	06.02.2007	1198,9	1
Продавец №1	Поставщик №1	Гипотиазид таб.  25мг х20	06.02.2007	52,7	15
Продавец №1	Поставщик №1	Глиатилин  р-р 1000мг/4 мл №3 амп.	06.02.2007	412,5	8
Продавец №1	Поставщик №1	Глицин таб. 0.1г №50	06.02.2007	9	10
Продавец №1	Поставщик №1	Диазолин др. 0.1 х10	06.02.2007	5,4	50
Продавец №1	Поставщик №1	Диксин (диоксидин) 1% р-р в/п и наружн. амп. 5мл х10	06.02.2007	18,4	5
Продавец №1	Поставщик №1	Димедрол 0,05 таб. №10	06.02.2007	2,8	100
Продавец №1	Поставщик №1	Димедрол амп. 1% 1мл х10	06.02.2007	67,2	55
Продавец №1	Поставщик №1	Димексид фл. 100мл	06.02.2007	16,4	20
Продавец №1	Поставщик №1	Длянос капли 0.05% фл. 10мл	06.02.2007	41	5
Продавец №1	Поставщик №1	Доксициклин г/х капс. 0.1 х10	06.02.2007	18,3	40
Продавец №1	Поставщик №1	Ингалипт аэр. фл. 30мл	06.02.2007	29,5	30
Продавец №1	Поставщик №1	Инстенон др. 20мг х30	06.02.2007	113,5	30
Продавец №1	Поставщик №1	Инфезол 100 р-р д/инф. 500мл	06.02.2007	1030,8	20
Продавец №1	Поставщик №1	Инфукол  6% фл. 500мл	06.02.2007	565,5	20
Продавец №1	Поставщик №1	Йод спиртовой 5% фл. 10мл	06.02.2007	4,3	100
Продавец №1	Поставщик №1	Кальция глюконат амп. 10% 5мл х10	06.02.2007	74,2	12
Продавец №1	Поставщик №1	Каметон аэроз. 30г	06.02.2007	101,53	20
Продавец №1	Поставщик №1	Касторовое масло фл. 30мл	06.02.2007	4,9	10
Продавец №1	Поставщик №1	Квамател 20мг с р-лем фл. 5мл х5	06.02.2007	254,6	5
Продавец №1	Поставщик №1	Кеторол амп.3% 1мл х10	06.02.2007	88,2	30
Продавец №1	Поставщик №1	Кларитромицин-Протекх табл. п.о. 250 мг № 10	06.02.2007	140	10
Продавец №1	Поставщик №1	Контрикал амп. 10тыс.Ед. х10	06.02.2007	554,6	5
Продавец №1	Поставщик №1	Корвалол фл. 25мл (инд. упак.)	06.02.2007	11,8	109
